Question,Sub Quest/Answer,Question_Char_Length,Sub_QA_Char_Length,Question_Word_Length,Sub_QA_Word_Length
Critical illness,"This policy covers the following 53 critical illnesses:Acute Necrohemorrhagic PancreatitisAdrenalectomy for Adrenal AdenomaAlzheimer’s Disease/ Severe DementiaAngioplasty and Other Invasive Treatment For Coronary Artery*Benign Brain TumourBlindness (Irreversible Loss of Sight)Chronic Auto-Immune HepatitisChronic Relapsing PancreatitisComaCoronary Artery By-Pass Surgery*Creutxfeld-Jacob DiseaseDeafness (Irreversible Loss of Hearing)EbolaElephantiasisEnd Stage Kidney FailureEnd Stage Liver FailureEnd Stage Lung DiseaseFulminant HepatitisHeart Attack of Specified Severity*HIV due to Blood Transfusion and Occupationally Acquired HIVIdiopathic Parkinson’s DiseaseInfective EndocarditisIrreversible Aplastic AnaemiaIrreversible Loss of SpeechLoss of Independent ExistenceMajor BurnsMajor Cancer*Major Head TraumaMajor Organ/ Bone Marrow TransplantationMedullary Cystic DiseaseMotor Neurone DiseaseMultiple Root Avulsions of Brachial PlexusMultiple SclerosisMuscular DystrophyNecrotising FasciitisOpen Chest Heart Valve SurgeryOpen Chest Surgery to AortaOther Serious Coronary Artery Disease*Paralysis (Irreversible Loss of use of limbs)Persistent Vegetative State (Apallic Syndrome)PoliomyelitisPrimary Pulmonary HypertensionProgressive SclerodermaProgressive Supranuclear PalsyResection of the whole small intestine (duodenum, jejunum and ileum)Severe Bacterial MeningitisSevere Eisenmenger’s SyndromeSevere EncephalitisSevere Myasthenia GravisSevere Ulcerative ColitisStroke with Permanent Neurological DeficitSurgery for Idiopathic ScoliosisSystemic Lupus Erythematosus with Lupus NephritisPlease note the following conditionsFor any illnesses indicated with asterisks (*), there is awaiting period of 90 days. You may claim for all other illnesses as soon as your policy is in force.ForAngioplasty and Other Invasive Treatment for Coronary Artery, you will receive10%of your selected coverage amount. However, you will continue to receive full coverage for the remaining benefits during the term of the policy. If no further claims are made, you will still receive a full refund of your premiums.",16,2102,2,231
Sell investments,"When you sell your investment, the sales proceeds will be credited into your CPF Investment Account (CPFIA). We will automatically transfer the balance in your CPFIA to your CPF Ordinary Account if the account has been inactive for two consecutive months.You may initiate a refund to take place earlier, by instructing OCBC Bank to effect the refund through the following facilities:Any OCBC Bank BranchOCBC Bank ATMsOCBC Phone Banking at 1800 363 3333 (Service is only available to existing OCBC Phone Banking users)OCBC Online Banking (Service is only available to existing OCBC Online Banking users)",16,602,2,94
Close my CPF Investment Account,"You can visit any of our branches to complete the Account Closure form or write in to:CPF Investment Unit31 Tampines Avenue 4#07-00OCBC Tampines Centre TwoSingapore 529680You are required to liquidate all your CPF investment holdings before closing the investment account. Any cash balance in the CPF Investment Account will then be refunded to your CPF Ordinary Account.When you initiate a S15 withdrawal, you need to make a request either via CPF website or a prescribed form to CPF Board to confirm that you have sufficient balance for CPF Minimum Sum scheme.Any cash balance will be refunded to you, after deducting CDP share transfer charges (if applicable).Cash balance will be refunded to you in the form of a cashier's order or credited into an existing OCBC account if you have sent a written request.",31,810,5,133
Transfer cash balance in CPF Investment Account to CPF Ordinary Account,You can request via the following channels:ATMAfter keying PIN > More Services > CPF Services > Transfers > Enteramount and ConfirmOCBC Internet BankingAfter login > Investments & Insurance > Retirement portfolio > Refund toCPF Board > Enter amount and SubmitPhone BankingComplete theCPFIA Instruction FormFax it to 6826 9887 / 67845070 / 6784 9787Or mail it to:Oversea-Chinese Banking Corporation Limited31 Tampines Avenue 4#03-00 OCBC Tampines Centre TwoSingapore 529680Attn: CPF Investment UnitThe bank will automatically transfer the cash balance from your CPF Investment Account to your CPF Ordinary Account if you have not had any transactions for 2 consecutive months. Funds will be transferred at the end of 2 months.,71,725,11,108
Minimum balance in CPF Investment Account,No minimum balance.,41,19,6,3
Transfer CPF Investment Account from other banks to OCBC,"Visit an OCBC branch.Complete and sign theAccount Transfer formCPF Investment Account-Ordinary Account Application formStanding Instruction formThe branch will submit these documents for the processing of the transfer.During the course of the transfer, you are advised not to perform any transactions.Upon completion of the transfer, a welcome letter will be sent to you with the new CPF Investment Account number.",56,414,9,59
IPO Application,"Apply for IPO using both cash and CPFYou can do so at an ATM.Unsuccessful IPO applicationUnused CPF funds will be refunded to your CPF Investment Account, which are then transferred to your CPF Ordinary Account at the end of the month.",15,235,2,41
Sell investments,"When you sell your investment, the sales proceeds will be credited into your CPF Investment Account (CPFIA). We will automatically transfer the balance in your CPFIA to your CPF Ordinary Account if the account has been inactive for two consecutive months.You may initiate a refund to take place earlier, by instructing OCBC Bank to effect the refund through the following facilities:Any OCBC Bank BranchOCBC Online Banking (Service is only available to existing OCBC Online Banking users)",16,488,2,76
Close my CPF Investment Account,"You can visit any of our branches to complete the Account Closure form or write in to:CPF Investment Unit31 Tampines Avenue 4#07-00OCBC Tampines Centre TwoSingapore 529680You are required to liquidate all your CPF investment holdings before closing the investment account. Any cash balance in the CPF Investment Account will then be refunded to your CPF Ordinary Account.When you initiate a S15 withdrawal, you need to make a request either via CPF website or a prescribed form to CPF Board to confirm that you have sufficient balance for CPF Minimum Sum scheme.Any cash balance will be refunded to you, after deducting CDP share transfer charges (if applicable).Cash balance will be refunded to you in the form of a cashier's order or credited into an existing OCBC account if you have sent a written request.",31,810,5,133
Transfer cash balance in CPF Investment Account to CPF Ordinary Account,You can request via the following channels:ATMOCBC Internet BankingPhone BankingComplete theCPFIA Instruction FormFax it to 68307950 / 68307949 / 68307948Or mail it to:Oversea-Chinese Banking Corporation Limited31 Tampines Avenue 4#07-00 OCBC Tampines Centre TwoSingapore 529680Attn: CPF Investment UnitThe bank will automatically transfer the cash balance from your CPF Investment Account to your CPF Ordinary Account if you have not had any transactions for 2 consecutive months. Funds will be transferred at the end of 2 months.,71,531,11,75
Minimum balance in CPF Investment Account,No minimum balance.,41,19,6,3
Transfer CPF Investment Account from other banks to OCBC,"Visit an OCBC branch.Complete and sign theAccount Transfer formCPF Investment Account-Ordinary Account Application formStanding Instruction formThe branch will submit these documents for the processing of the transfer.During the course of the transfer, you are advised not to perform any transactions.Upon completion of the transfer, a welcome letter will be sent to you with the new CPF Investment Account number.",56,414,9,59
Apply for Securities via Electronic Securities Application (ESA) using both cash and CPF,"You can do so at an ATM and OCBC Online Banking (not available on OCBC Digital app).Via OCBC Online BankingGo tohttps://www.ocbc.com/login.Under “Investment and Insurance”, select “Electronic Securities Application”.Via ATMSelect ""More Services"".Select ""Investment Services"".Select ""Electronic Security Application"".Select the counter you wish to apply for.",88,357,13,43
Unsuccessful application,"Unused CPF funds will be refunded to your CPF Investment Account, which are then transferred to your CPF Ordinary Account at the end of the month.",24,146,2,26
SGS Treasury Bill/Bond and Rights Application,You can use cash to apply for any such issue at any OCBC ATM.,45,61,6,14
Timings for Electronic Securities Application (ESA),Electronic Securities Application (ESA) service is available between 6:30am to 9:50pm from Monday to Saturday and 8:00am to 10:15pm on Sunday and Public Holidays.,51,162,6,24
